Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
29/01/2021,Himachal Pradesh,22918.0,0.0,22918.0
29/01/2021,Jammu and Kashmir,26634.0,0.0,26634.0
29/01/2021,Jharkhand,33119.0,0.0,33119.0
29/01/2021,Karnataka,307891.0,0.0,307891.0
29/01/2021,Kerala,135835.0,0.0,135835.0
29/01/2021,Ladakh,989.0,0.0,989.0
29/01/2021,Lakshadweep,746.0,0.0,746.0
29/01/2021,Madhya Pradesh,246181.0,0.0,246181.0
29/01/2021,Maharashtra,261320.0,0.0,261320.0
29/01/2021,Manipur,3399.0,0.0,3399.0
29/01/2021,Meghalaya,4200.0,0.0,4200.0
29/01/2021,Mizoram,8497.0,0.0,8497.0
29/01/2021,Nagaland,3973.0,0.0,3973.0
29/01/2021,Odisha,205200.0,0.0,205200.0
29/01/2021,Puducherry,2299.0,0.0,2299.0
29/01/2021,Punjab,54988.0,0.0,54988.0
29/01/2021,Rajasthan,324973.0,0.0,324973.0
29/01/2021,Sikkim,2020.0,0.0,2020.0
29/01/2021,Tamil Nadu,97126.0,0.0,97126.0
29/01/2021,Telangana,166606.0,0.0,166606.0
29/01/2021,Tripura,27617.0,0.0,27617.0
29/01/2021,Uttar Pradesh,463793.0,0.0,463793.0
29/01/2021,Uttarakhand,25818.0,0.0,25818.0
29/01/2021,West Bengal,221994.0,0.0,221994.0
29/01/2021,Miscellaneous,50078.0,0.0,50078.0
