state,deaths,month,year,pc11_state_id
Kerala,17212,4,2020,32
Kerala,20884,8,2015,32
Kerala,20640,3,2019,32
Kerala,19077,3,2015,32
Kerala,20958,7,2015,32
Kerala,20514,5,2019,32
Kerala,20813,11,2015,32
Kerala,19346,6,2020,32
Kerala,19047,5,2015,32
Kerala,25683,8,2018,32
Kerala,18898,9,2015,32
Kerala,21031,11,2018,32
Kerala,20509,6,2019,32
Kerala,21357,1,2020,32
Kerala,23406,12,2020,32
Kerala,17970,2,2015,32
Kerala,21314,9,2016,32
Kerala,20053,5,2017,32
Kerala,18641,2,2016,32
Kerala,19014,4,2017,32
Kerala,18128,2,2017,32
Kerala,23394,8,2020,32
Kerala,19098,5,2016,32
Kerala,20169,4,2016,32
Kerala,21513,9,2017,32
Kerala,19370,5,2018,32
Kerala,22115,11,2020,32
Kerala,22577,8,2016,32
Kerala,21292,12,2017,32
Kerala,19013,3,2017,32
Kerala,27957,5,2021,32
Kerala,26302,7,2017,32
Kerala,21379,1,2015,32
Kerala,20083,11,2017,32
Kerala,22704,9,2020,32
Kerala,20945,12,2019,32
Kerala,22597,6,2017,32
Kerala,22844,9,2018,32
Kerala,18360,6,2015,32
Kerala,21236,12,2015,32
Kerala,21145,1,2016,32
Kerala,20681,10,2017,32
Kerala,24318,9,2019,32
Kerala,23372,7,2018,32
Kerala,20706,3,2021,32
Kerala,20229,4,2021,32
Kerala,23432,7,2016,32
Kerala,19714,2,2020,32
Kerala,24567,7,2019,32
Kerala,18825,4,2018,32
Kerala,21152,2,2021,32
Kerala,20303,12,2016,32
Kerala,20337,6,2016,32
Kerala,18856,11,2016,32
Kerala,19843,3,2018,32
Kerala,5908,6,2021,32
Kerala,19354,2,2018,32
Kerala,19142,3,2016,32
Kerala,19983,4,2019,32
Kerala,19886,10,2016,32
Kerala,23676,1,2019,32
Kerala,21626,11,2019,32
Kerala,24949,10,2020,32
Kerala,22081,1,2018,32
Kerala,23101,8,2017,32
Kerala,23328,1,2021,32
Kerala,20963,7,2020,32
Kerala,17808,4,2015,32
Tamil Nadu,58132,1,2020,33
Tamil Nadu,53028,10,2019,33
Tamil Nadu,42633,7,2018,33
Tamil Nadu,48621,9,2019,33
Tamil Nadu,62273,1,2021,33
Tamil Nadu,55658,11,2019,33
Tamil Nadu,70033,8,2020,33
Tamil Nadu,93573,5,2021,33
Tamil Nadu,48893,2,2020,33
Tamil Nadu,60096,10,2020,33
Tamil Nadu,45987,3,2020,33
Tamil Nadu,46703,3,2018,33
Tamil Nadu,46560,2,2019,33
Tamil Nadu,40484,9,2018,33
Tamil Nadu,60052,7,2020,33
Tamil Nadu,48868,6,2019,33
Tamil Nadu,50687,6,2020,33
Tamil Nadu,45762,7,2019,33
Tamil Nadu,41482,4,2020,33
Tamil Nadu,50834,5,2020,33
Tamil Nadu,50959,3,2021,33
Tamil Nadu,43222,6,2018,33
Tamil Nadu,51639,5,2019,33
Tamil Nadu,65447,9,2020,33
Tamil Nadu,58775,4,2021,33
Tamil Nadu,58405,1,2019,33
Tamil Nadu,52845,2,2021,33
Tamil Nadu,51602,11,2018,33
Tamil Nadu,43928,5,2018,33
